Type(cmd) Amount(dollex/time) Date(DD/MM/YY) Time-UTC(hh/mm/ss) Target(username)
+ 25 07/06/2022 17:01:20 udwin_
+ 35 07/06/2022 17:05:55 qwite3
+ 41 07/06/2022 17:11:40 budhaxx
+ 42 07/06/2022 17:19:28 electroponey
+ 36 07/06/2022 17:25:23 pinte2chouffe_
+ 38 07/06/2022 17:31:01 solaris428
+ 30 07/06/2022 17:39:30 mainhasagi
+ 22 07/06/2022 17:45:34 iwa111_
TO 9 07/06/2022 17:52:32 solaris428
+ 25 07/06/2022 17:56:28 pabl0_lol
+ 44 07/06/2022 18:02:19 adripeal
+ 16 07/06/2022 18:06:09 natsiir
+ 32 07/06/2022 18:14:04 ratusrex
+ 17 07/06/2022 18:21:47 pabl0_lol
TO 8 07/06/2022 18:29:25 greymir
+ 39 07/06/2022 18:34:03 kraozer
+ 37 07/06/2022 18:42:57 brieuc109
+ 31 07/06/2022 18:46:26 moha_f9
TO 5 07/06/2022 18:54:12 moha_f9
+ 27 07/06/2022 19:03:03 herosabis
+ 32 07/06/2022 19:07:53 merluchon56
+ 42 07/06/2022 19:16:22 froscha
+ 44 07/06/2022 19:20:25 gabhran
+ 32 07/06/2022 19:26:19 froscha
+ 26 07/06/2022 19:34:52 dorobonosancho
- 16 07/06/2022 19:42:05 dieufrosty
+ 18 07/06/2022 19:47:32 sacckoo
- 24 07/06/2022 19:52:08 pabl0_lol
+ 24 07/06/2022 19:58:41 creepixel_
+ 24 07/06/2022 20:05:30 petitnarval
- 21 07/06/2022 20:09:23 spektr__vl
+ 34 07/06/2022 20:13:00 crispy0110
+ 39 07/06/2022 20:18:25 javeleau
TO 9 07/06/2022 20:22:28 narmaacil
+ 25 07/06/2022 20:26:29 cocoieplusbo
+ 45 07/06/2022 20:34:18 florentpagnytft
+ 30 07/06/2022 20:41:02 surelynotpipou
- 18 07/06/2022 20:48:03 spektr__vl
+ 17 07/06/2022 20:53:38 florentpagnytft
- 25 07/06/2022 21:01:55 surelynotmalaisant
TO 7 07/06/2022 21:07:09 alicebhr
+ 27 07/06/2022 21:11:13 chap_gg
+ 28 07/06/2022 21:15:17 syrmen
- 22 07/06/2022 21:19:42 chacal_boiteux
- 16 07/06/2022 21:26:01 pabl0_lol
+ 17 07/06/2022 21:29:42 taliion08
+ 29 07/06/2022 21:34:40 nattk2tft
- 25 07/06/2022 21:43:03 svetlos
TO 8 07/06/2022 21:48:25 350gdematierefecale
- 21 07/06/2022 21:54:03 mabbuchi
+ 27 07/06/2022 22:00:17 vermeilh
+ 26 07/06/2022 22:04:42 zargor61
+ 36 07/06/2022 22:09:51 pico_gamer12
+ 35 07/06/2022 22:12:55 rank_1_weediz00m
+ 41 07/06/2022 22:16:44 levonns
- 17 07/06/2022 22:21:19 guerna_
+ 26 07/06/2022 22:25:52 electroponey
+ 44 08/06/2022 13:08:41 tilline
TO 9 08/06/2022 13:17:01 neidj_j
+ 35 08/06/2022 13:24:44 ricemau
- 19 08/06/2022 13:29:22 neliooos1
+ 34 08/06/2022 13:37:55 budhaxx
+ 19 08/06/2022 13:40:58 izu____
TO 10 08/06/2022 13:46:12 levonns
+ 44 08/06/2022 13:50:36 extadr
- 20 08/06/2022 13:58:19 yanflor
+ 44 08/06/2022 14:05:22 extadr
- 23 08/06/2022 14:14:21 tilline
+ 45 08/06/2022 14:17:47 brolojojo
TO 6 08/06/2022 14:24:41 titaii2
+ 39 08/06/2022 14:29:54 bedsmash
+ 31 08/06/2022 14:35:15 exseaa
TO 9 08/06/2022 14:38:56 brolojojo
+ 45 08/06/2022 14:47:15 ptilaco
TO 9 08/06/2022 14:53:07 nayrkujo
TO 8 08/06/2022 14:57:20 ptilaco
TO 5 08/06/2022 15:06:16 yanflor
+ 22 08/06/2022 15:14:11 ottp_talon
+ 30 08/06/2022 15:19:28 darkflemm06
- 24 08/06/2022 15:26:34 darkflemm06
+ 15 08/06/2022 15:32:23 sherlockhezon
+ 32 08/06/2022 15:40:38 otprenekton92
+ 36 08/06/2022 15:44:07 sweak69
TO 7 08/06/2022 15:48:24 pateyyyy
TO 7 08/06/2022 15:56:14 elyyy__
+ 42 08/06/2022 16:00:37 coco_la_noix
+ 31 08/06/2022 16:04:06 kenev_
+ 45 08/06/2022 16:17:12 mabbuchi
+ 44 08/06/2022 16:21:37 blackcyrii
+ 39 08/06/2022 16:26:11 budhaxx
+ 37 08/06/2022 16:34:27 moha_f9
+ 43 08/06/2022 16:37:38 tatsharam
+ 44 08/06/2022 16:42:41 budhaxx
+ 44 08/06/2022 16:50:00 paranor_
TO 9 08/06/2022 16:56:59 iliadin60
+ 38 08/06/2022 17:00:06 batoux420
+ 19 08/06/2022 17:05:57 drykhe
TO 10 08/06/2022 17:13:37 zalefa
+ 25 08/06/2022 17:19:05 verbalzsan
+ 37 08/06/2022 17:25:22 extadr
+ 28 08/06/2022 17:34:11 tatsharam
+ 31 08/06/2022 17:39:03 scalettinho974
+ 32 08/06/2022 17:44:33 ebi_yakisoba
- 16 08/06/2022 17:53:31 ryuzakii31
+ 38 08/06/2022 18:02:02 levonns
+ 35 08/06/2022 18:10:43 levonns
+ 36 08/06/2022 18:19:22 spaceizu
TO 5 08/06/2022 18:24:29 guiguiolol
+ 33 08/06/2022 18:32:21 gasix_
TO 5 08/06/2022 18:39:03 reitsen
- 25 08/06/2022 18:44:50 nizz_lol
+ 45 08/06/2022 18:50:45 pabl0_lol
+ 25 08/06/2022 18:55:06 hippopotame_nain
+ 34 08/06/2022 19:01:59 froscha
TO 8 08/06/2022 19:08:20 marvelsmax
+ 30 08/06/2022 19:15:00 le_bon_a_rien
+ 23 08/06/2022 19:21:05 froscha
+ 34 08/06/2022 19:25:22 guy_db
+ 39 08/06/2022 19:30:00 proloks_
TO 6 08/06/2022 19:38:24 nattk2tft
+ 27 08/06/2022 19:47:01 moha_f9
+ 17 08/06/2022 19:55:53 alegoa
TO 8 08/06/2022 20:00:21 tsooguh
- 24 08/06/2022 20:08:50 mabbuchi
+ 35 08/06/2022 20:14:48 kh0rpse_
+ 37 08/06/2022 20:37:06 cominou7
+ 41 08/06/2022 20:41:27 ptilaco
TO 8 08/06/2022 20:48:21 emendoo
+ 21 08/06/2022 20:55:25 ricemau
+ 45 08/06/2022 20:59:32 unefleurblanche
+ 29 08/06/2022 21:02:56 zenkey_y
+ 27 08/06/2022 21:11:05 lackless_gg
